Dataset,Classifier,Train %,Run,Train Acc,CV Acc,Test Acc,Best Params
Spambase,NeuralNet,20,3,0.937,0.8891,0.9218,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Spambase,KNN,20,3,1.0,0.8815,0.8859,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,50,1,0.9704,0.9222,0.9296,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,50,1,0.9996,0.9461,0.9474,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Spambase,XGBoost,50,1,0.9874,0.9478,0.95,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Spambase,NeuralNet,50,1,0.9774,0.9317,0.9409,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Spambase,KNN,50,1,0.9996,0.8957,0.9192,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,50,2,0.9704,0.9239,0.9335,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,50,2,0.9991,0.9374,0.9557,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Spambase,XGBoost,50,2,0.9983,0.9404,0.9496,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Spambase,NeuralNet,50,2,0.9783,0.9313,0.9444,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Spambase,KNN,50,2,0.9991,0.9048,0.9166,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,50,3,0.9704,0.9265,0.927,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,50,3,1.0,0.9509,0.9439,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Spambase,XGBoost,50,3,0.9974,0.947,0.9418,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Spambase,NeuralNet,50,3,0.96,0.937,0.9383,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Spambase,KNN,50,3,1.0,0.9135,0.907,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,80,1,0.9668,0.9302,0.9359,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,80,1,0.9995,0.9524,0.9501,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Spambase,XGBoost,80,1,0.9924,0.9524,0.9555,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Spambase,NeuralNet,80,1,0.9546,0.9326,0.9403,"{'clf__hidden_layer_sizes': (100,), 'clf__alpha': 0.0001}"
Spambase,KNN,80,1,0.9997,0.9168,0.9273,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,80,2,0.9674,0.9323,0.937,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,80,2,0.9995,0.9489,0.9587,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Spambase,XGBoost,80,2,0.9992,0.9535,0.9609,"{'clf__n_estimators': 400, 'clf__max_depth': 10, 'clf__learning_rate': 0.05}"
Spambase,NeuralNet,80,2,0.9359,0.934,0.9273,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Spambase,KNN,80,2,0.9995,0.919,0.9218,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,80,3,0.9696,0.9323,0.9283,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,80,3,0.9992,0.9535,0.9511,"{'clf__max_depth': 30, 'clf__n_estimators': 200}"
Spambase,XGBoost,80,3,0.9938,0.9573,0.9457,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Spambase,NeuralNet,80,3,0.9709,0.9391,0.9327,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Spambase,KNN,80,3,0.9995,0.9177,0.9034,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Letter,SVM-RBF,20,1,0.9992,0.9952,0.9976,"{'clf__gamma': 'scale', 'clf__C': 10}"
Letter,RandomForest,20,1,1.0,0.9927,0.9944,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,20,1,1.0,0.9942,0.9966,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Letter,NeuralNet,20,1,0.9935,0.9927,0.9913,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Letter,KNN,20,1,1.0,0.9942,0.9967,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Letter,SVM-RBF,20,2,1.0,0.9962,0.9959,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,20,2,1.0,0.9945,0.9936,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,20,2,1.0,0.996,0.9959,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Letter,NeuralNet,20,2,0.9948,0.993,0.9904,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Letter,KNN,20,2,1.0,0.9952,0.993,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Letter,SVM-RBF,20,3,1.0,0.9972,0.9966,"{'clf__gamma': 'scale', 'clf__C': 10}"
Letter,RandomForest,20,3,1.0,0.994,0.9944,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,20,3,1.0,0.9955,0.9956,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Letter,NeuralNet,20,3,0.9998,0.99,0.9954,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Letter,KNN,20,3,0.9975,0.9945,0.9962,"{'clf__n_neighbors': 5, 'clf__weights': 'uniform'}"
Letter,SVM-RBF,50,1,1.0,0.9982,0.999,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,50,1,1.0,0.9957,0.9956,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Letter,XGBoost,50,1,1.0,0.9976,0.9975,"{'clf__n_estimators': 400, 'clf__max_depth': 10, 'clf__learning_rate': 0.05}"
Letter,NeuralNet,50,1,0.9999,0.9948,0.997,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Letter,KNN,50,1,0.9988,0.9968,0.9978,"{'clf__n_neighbors': 5, 'clf__weights': 'uniform'}"
Letter,SVM-RBF,50,2,1.0,0.9985,0.9988,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,50,2,1.0,0.9957,0.9957,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,50,2,1.0,0.9973,0.9978,"{'clf__n_estimators': 400, 'clf__max_depth': 10, 'clf__learning_rate': 0.05}"
Letter,NeuralNet,50,2,0.9992,0.9947,0.9969,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Letter,KNN,50,2,1.0,0.9971,0.9975,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Letter,SVM-RBF,50,3,0.9998,0.999,0.999,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,50,3,1.0,0.996,0.9966,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Letter,XGBoost,50,3,1.0,0.9983,0.9974,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Letter,NeuralNet,50,3,0.9995,0.9957,0.9969,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Letter,KNN,50,3,0.9987,0.9973,0.9974,"{'clf__n_neighbors': 5, 'clf__weights': 'uniform'}"
Letter,SVM-RBF,80,1,1.0,0.9994,0.9992,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,80,1,1.0,0.9967,0.998,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,80,1,1.0,0.9985,0.9985,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Letter,NeuralNet,80,1,0.9998,0.9976,0.9978,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Letter,KNN,80,1,1.0,0.9979,0.9982,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Letter,SVM-RBF,80,2,1.0,0.9989,0.9992,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,80,2,1.0,0.9964,0.9965,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,80,2,1.0,0.9981,0.9975,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Letter,NeuralNet,80,2,0.9998,0.9965,0.9972,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Letter,KNN,80,2,1.0,0.9974,0.998,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Letter,SVM-RBF,80,3,1.0,0.9993,1.0,"{'clf__gamma': 0.1, 'clf__C': 10}"
Letter,RandomForest,80,3,1.0,0.9961,0.997,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Letter,XGBoost,80,3,1.0,0.998,0.998,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Letter,NeuralNet,80,3,0.9994,0.9974,0.9968,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Letter,KNN,80,3,1.0,0.998,0.9978,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,20,1,0.96,0.9491,0.9522,"{'clf__gamma': 0.1, 'clf__C': 10}"
Cod-RNA,RandomForest,20,1,0.9999,0.9382,0.941,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Cod-RNA,XGBoost,20,1,0.9883,0.9494,0.955,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Cod-RNA,NeuralNet,20,1,0.9512,0.9498,0.9476,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Cod-RNA,KNN,20,1,0.9999,0.9177,0.9213,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,20,2,0.9609,0.9483,0.952,"{'clf__gamma': 'scale', 'clf__C': 10}"
Cod-RNA,RandomForest,20,2,0.9999,0.9375,0.9437,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,20,2,0.9894,0.9479,0.9541,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,20,2,0.95,0.951,0.9478,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,20,2,0.9386,0.9165,0.9211,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Cod-RNA,SVM-RBF,20,3,0.9634,0.9495,0.9512,"{'clf__gamma': 'scale', 'clf__C': 10}"
Cod-RNA,RandomForest,20,3,1.0,0.9399,0.9429,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
Cod-RNA,XGBoost,20,3,0.9893,0.9509,0.9533,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Cod-RNA,NeuralNet,20,3,0.9565,0.9506,0.9523,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,20,3,1.0,0.9209,0.9254,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,50,1,0.9613,0.9547,0.9544,"{'clf__gamma': 'scale', 'clf__C': 10}"
Cod-RNA,RandomForest,50,1,0.9999,0.9495,0.9533,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,50,1,0.9892,0.9605,0.961,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,50,1,0.9613,0.957,0.9589,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,50,1,0.9999,0.931,0.936,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,50,2,0.9587,0.9531,0.9552,"{'clf__gamma': 0.1, 'clf__C': 10}"
Cod-RNA,RandomForest,50,2,0.9999,0.9505,0.9531,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,50,2,0.989,0.9593,0.9618,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,50,2,0.9565,0.9574,0.9553,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,50,2,0.9999,0.9327,0.9352,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,50,3,0.9593,0.953,0.9545,"{'clf__gamma': 0.1, 'clf__C': 10}"
Cod-RNA,RandomForest,50,3,0.9998,0.9488,0.9531,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,50,3,0.9889,0.9582,0.9607,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,50,3,0.9599,0.9586,0.9559,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,50,3,0.9998,0.9316,0.9371,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,80,1,0.9605,0.9556,0.9546,"{'clf__gamma': 'scale', 'clf__C': 10}"
Cod-RNA,RandomForest,80,1,0.9998,0.9548,0.9589,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,80,1,0.9991,0.9632,0.9675,"{'clf__n_estimators': 400, 'clf__max_depth': 10, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,80,1,0.961,0.9588,0.9587,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,80,1,0.9998,0.9376,0.9452,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
